id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-1129186,2023-10-16,000001,Vente,218250,76,,RUE VICTOR GELU PROLONGEE,7166,83000,83137,Toulon,83,,,83137000BI0660,,,408,66.5,,,,,,,,,1,3,Dépendance,,0,,,,,,5.972183,43.116791
2023-1129186,2023-10-16,000001,Vente,218250,76,,RUE VICTOR GELU PROLONGEE,7166,83000,83137,Toulon,83,,,83137000BI0660,,,408,66.5,,,,,,,,,1,3,Dépendance,,0,,,,,,5.972183,43.116791
2023-1129186,2023-10-16,000001,Vente,218250,76,,RUE VICTOR GELU PROLONGEE,7166,83000,83137,Toulon,83,,,83137000BI0660,,,408,66.5,,,,,,,,,1,3,Dépendance,,0,,,,,,5.972183,43.116791
2023-1129186,2023-10-16,000001,Vente,218250,76,,RUE VICTOR GELU PROLONGEE,7166,83000,83137,Toulon,83,,,83137000BI0660,,,408,66.5,,,,,,,,,1,2,Appartement,63,3,,,,,,5.972183,43.116791
2023-1129186,2023-10-16,000001,Vente,218250,,,RUE VICTOR GELU PROLONGEE,7166,83000,83137,Toulon,83,,,83137000BI0660,,,578,,,,,,,,,,1,,,,,AG,terrains d'agrément,IMM,Dépendances d'ensemble immobilier,1310,5.972183,43.116791
2023-1129187,2023-10-27,000001,Vente,181950,212,,CHE DE LA MAJOURANE,4766,83200,83137,Toulon,83,,,83137000DY0564,,,55,,,,,,,,,,1,2,Appartement,56,2,,,,,,5.899866,43.151096
2023-1129189,2023-10-31,000001,Vente,290000,583,,AV JOSEPH GASQUET,4030,83100,83137,Toulon,83,,,83137000BE0092,,,,,,,,,,,,,0,1,Maison,53,3,S,sols,,,284,5.962938,43.12528
2023-1129193,2023-11-02,000001,Vente,254700,2,,AV MONTE CARLO,5275,83000,83137,Toulon,83,,,83137000BX0275,,,1,,26,57.07,,,,,,,2,3,Dépendance,,0,,,,,,5.933662,43.109436
2023-1129193,2023-11-02,000001,Vente,254700,2,,AV MONTE CARLO,5275,83000,83137,Toulon,83,,,83137000BX0275,,,1,,26,57.07,,,,,,,2,2,Appartement,62,3,,,,,,5.933662,43.109436
2023-1129197,2023-10-31,000001,Vente,270000,9004,,CHE DES MOINEAUX,5215,83000,83137,Toulon,83,,,83137000BN0119,,,141,,,,,,,,,,1,2,Appartement,70,3,,,,,,5.961695,43.112709
2023-1129197,2023-10-31,000001,Vente,270000,9004,,CHE DES MOINEAUX,5215,83000,83137,Toulon,83,,,83137000BN0119,,,133,,,,,,,,,,1,3,Dépendance,,0,,,,,,5.961695,43.112709
2023-1129210,2023-10-31,000001,Vente,139000,9001,,RUE DE TURENNE,7020,83100,83137,Toulon,83,,,83137000BE0029,,,28,,38,,,,,,,,2,3,Dépendance,,0,,,,,,5.961409,43.125563
2023-1129210,2023-10-31,000001,Vente,139000,9001,,RUE DE TURENNE,7020,83100,83137,Toulon,83,,,83137000BE0029,,,28,,38,,,,,,,,2,2,Appartement,64,4,,,,,,5.961409,43.125563
2023-1129214,2023-10-17,000001,Vente,190950,199,,AV VERT COTEAU,7125,83000,83137,Toulon,83,,,83137000AR0505,,,136,58.71,39,,,,,,,,2,3,Dépendance,,0,,,,,,5.943632,43.125805
2023-1129214,2023-10-17,000001,Vente,190950,199,,AV VERT COTEAU,7125,83000,83137,Toulon,83,,,83137000AR0505,,,136,58.71,39,,,,,,,,2,2,Appartement,58,3,,,,,,5.943632,43.125805
2023-1129220,2023-10-27,000001,Vente,435000,,,MTE DE LA PAVEIGNE,5641,83200,83137,Toulon,83,,,83137000DZ0169,,,,,,,,,,,,,0,,,,,S,sols,,,425,5.891107,43.149317
2023-1129220,2023-10-27,000001,Vente,435000,468,,MTE DE LA PAVEIGNE,5641,83200,83137,Toulon,83,,,83137000DZ0184,,,,,,,,,,,,,0,1,Maison,68,4,S,sols,,,814,5.890803,43.15067
2023-1129220,2023-10-27,000001,Vente,435000,,,MTE DE LA PAVEIGNE,5641,83200,83137,Toulon,83,,,83137000DZ0194,,,,,,,,,,,,,0,,,,,S,sols,,,3210,5.891143,43.149744
2023-1129221,2023-10-31,000001,Vente,450000,121,,AV DE FONT PRE,2895,83100,83137,Toulon,83,,,83137000AX0119,,,,,,,,,,,,,0,1,Maison,65,3,S,sols,,,412,5.967777,43.127967
2023-1129221,2023-10-31,000001,Vente,450000,121,,AV DE FONT PRE,2895,83100,83137,Toulon,83,,,83137000AX0119,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,412,5.967777,43.127967
2023-1129221,2023-10-31,000001,Vente,450000,121,,AV DE FONT PRE,2895,83100,83137,Toulon,83,,,83137000AX0119,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,412,5.967777,43.127967
2023-1129223,2023-10-30,000001,Vente,440000,1939,,CHE DE L HUBAC,7027,83200,83137,Toulon,83,,,83137000ET0362,,,1,89.16,,,,,,,,,1,1,Maison,94,4,,,,,,5.937276,43.158892
